,0,num,name,period,,5,6
742,,743.,Dide Nicolae,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1043&leg=1996&cam=1
743,,744.,Dijmãrescu Antonicã,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=102&leg=1990&cam=2
744,,745.,Dijmãrescu Eugen,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=149&leg=1992&cam=1
745,,746.,Dima Carmen,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=140&leg=2016&cam=1
746,,747.,Dima Emil,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1044&leg=1996&cam=1
747,,748.,Dima Toader,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=100&leg=2012&cam=2
748,,749.,Dimitriu Constantin,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=24&leg=1990&cam=1
749,,750.,Dimitriu Sorin Petre,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=58&leg=1996&cam=2
750,,751.,Dina Carol,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=30&leg=2004&cam=1
751,,752.,Dincã Mãrinicã,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=52&leg=2012&cam=1
752,,753.,Dinescu Valentin,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=31&leg=2004&cam=1
753,,754.,Dinicã Silvia-Monica,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=43&leg=2016&cam=1
754,,755.,Diniº Ion,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=30&leg=1992&cam=1
755,,756.,Diniþã Ion,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=101&leg=2012&cam=2
756,,757.,Dinu Constantin,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=25&leg=1990&cam=1
757,,758.,Dinu Cristina-Elena,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=94&leg=2016&cam=2
758,,759.,Dinu Gheorghe,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=86&leg=2000&cam=2
759,,760.,Dinu Ion,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=95&leg=1992&cam=2
760,,761.,Dinu Marin,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=82&leg=2000&cam=1
761,,762.,Dinu Nicoleta-Ramona,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=44&leg=2016&cam=1
762,,763.,Dircã George-Edward,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=45&leg=2016&cam=1
763,,764.,Dîrdalã ªtefan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=104&leg=1990&cam=2
764,,765.,Dîrstaru Dorin,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=45&leg=1996&cam=2
765,,766.,Dîrzu Ioan,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=95&leg=2016&cam=2
766,,767.,Doandeº Petra,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1181&leg=1996&cam=1
767,,768.,Doboº Anton,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=103&leg=2012&cam=2
768,,769.,Dobra Cãlin-Ionel,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=96&leg=2016&cam=2
769,,770.,Dobra Dorin-Mircea,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=53&leg=2012&cam=1
770,,771.,Dobra Nicolae,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=43&leg=2008&cam=1
771,,772.,Dobre Ciprian Minodor,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=87&leg=2008&cam=2
772,,773.,Dobre Cristina Elena,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=88&leg=2008&cam=2
773,,774.,Dobre Gheorghe,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=96&leg=1992&cam=2
774,,775.,Dobre Mircea-Titus,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=97&leg=2016&cam=2
775,,776.,Dobre Traian,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=12&leg=2004&cam=2
776,,777.,Dobre Victor Paul,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=98&leg=2016&cam=2
777,,778.,Dobrescu Doru Mihai,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=97&leg=1992&cam=2
778,,779.,Dobrescu Ion,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=98&leg=1992&cam=2
779,,780.,Dobrescu Maria-Antoaneta,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=86&leg=2000&cam=1
780,,781.,Dobrescu Rãsvan,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1046&leg=1996&cam=1
781,,782.,Dobrescu Smaranda,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=89&leg=2000&cam=2
782,,783.,Dobrescu Vasile,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1045&leg=1996&cam=1
783,,784.,Dobricã Ionela Viorela,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=99&leg=2016&cam=2
784,,785.,Dobrinescu Traian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=106&leg=2012&cam=2
785,,786.,Dobriþoiu Corneliu,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=54&leg=2012&cam=1
786,,787.,Dobriþoiu Teodoru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=105&leg=1990&cam=2
787,,788.,Dobrovici-Bacalbaºa Nicolae,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=100&leg=2016&cam=2
788,,789.,Dobrovie Matei-Adrian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=101&leg=2016&cam=2
789,,790.,Dochia Aurelian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=106&leg=1990&cam=2
790,,791.,Dogariu Eugen,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=46&leg=2016&cam=1
791,,792.,Dogariu Octavian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=107&leg=1990&cam=2
792,,793.,Dohotaru Adrian-Octavian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=102&leg=2016&cam=2
793,,794.,Dolãnescu Ion,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=90&leg=2000&cam=2
794,,795.,Dolha Mircea,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=107&leg=2012&cam=2
795,,796.,Dolha Nechita-Stelian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=108&leg=2012&cam=2
796,,797.,Dolineaschi Andrei,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=109&leg=2012&cam=2
797,,798.,Domokos Geza,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=108&leg=1990&cam=2
798,,799.,Donþu Mihai-Aurel,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=110&leg=2012&cam=2
799,,800.,Donþu Ovidiu Liviu,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=55&leg=2012&cam=1
800,,801.,Dorian Dorel,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=339&leg=2000&cam=2
801,,802.,Dorin Mihai,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=64&leg=1996&cam=2
802,,803.,Dorneanu Valer,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=198&leg=2004&cam=2
803,,804.,Dragnea Nicolae-Liviu,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=103&leg=2016&cam=2
804,,805.,Dragomir Aurel,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=103&leg=1992&cam=2
805,,806.,Dragomir Constantin,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=109&leg=1990&cam=2
806,,807.,Dragomir Constantin-Romeo,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=104&leg=1992&cam=2
807,,808.,Dragomir Dumitru,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=225&leg=2004&cam=2
808,,809.,Dragomir Gheorghe,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=112&leg=2012&cam=2
809,,810.,Dragomir Maria,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=113&leg=2012&cam=2
810,,811.,Dragomir Nelu Aristide,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=102&leg=1992&cam=2
811,,812.,Dragomir Traian-Caius,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=150&leg=1992&cam=1
812,,813.,Dragomir Viorel Marian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=114&leg=2012&cam=2
813,,814.,Dragoº Liviu Iuliu,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=94&leg=2000&cam=2
814,,815.,Dragu George,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=95&leg=2000&cam=2
815,,816.,Drãgan Sabin-Adrian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=111&leg=1990&cam=2
816,,817.,Drãgãnescu Ovidiu-Virgil,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=96&leg=2000&cam=2
817,,818.,Drãghicescu Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=112&leg=1990&cam=2
818,,819.,Drãghici Damian,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=56&leg=2012&cam=1
819,,820.,Drãghici Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=433&leg=1990&cam=2
820,,821.,Drãghici Mircea-Gheorghe,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=104&leg=2016&cam=2
821,,822.,Drãghici Sonia-Maria,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=116&leg=2012&cam=2
822,,823.,Drãghiea Nicolae,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=101&leg=1992&cam=2
823,,824.,Drãgulescu Iosif ªtefan,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=95&leg=2008&cam=2
824,,825.,Drãguº Radu-Cãtãlin,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=44&leg=2004&cam=2
825,,826.,Drãguºanu Vasile-Cãtãlin,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=117&leg=2012&cam=2
826,,827.,Drãguþ Dumitru,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=105&leg=1992&cam=2
827,,828.,Drecin Mihai Dorin,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=161&leg=2004&cam=1
828,,829.,Dreþcanu Doina Micºunica,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=87&leg=2004&cam=2
829,,830.,Druga Alin-Mihai-Dumitru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=113&leg=1990&cam=2
830,,831.,Drulã Cãtãlin,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=105&leg=2016&cam=2
831,,832.,Drumen Constantin,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=57&leg=1996&cam=2
832,,833.,Duca Viorel Senior,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=33&leg=2004&cam=1
833,,834.,Dudiþã Florea,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=151&leg=1992&cam=1
834,,835.,Dugulescu Marius Cristinel,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=96&leg=2008&cam=2
835,,836.,Dugulescu Petru,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=96&leg=1996&cam=2
836,,837.,Dumbrãvanu Paul,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=118&leg=2012&cam=2
837,,838.,Dumitrache Constantin,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=114&leg=1990&cam=2
838,,839.,Dumitrache Ileana Cristina,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=106&leg=2016&cam=2
839,,840.,Dumitraºcu Gheorghe,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1048&leg=1996&cam=1
840,,841.,Dumitraºcu Laurenþiu,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=100&leg=1996&cam=2
841,,842.,Dumitrean Bazil,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=3&leg=1996&cam=2
842,,843.,Dumitrescu Alexandru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=115&leg=1990&cam=2
843,,844.,Dumitrescu Constantin,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=124&leg=1990&cam=1
844,,845.,Dumitrescu Constantin-Ticu,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1049&leg=1996&cam=1
845,,846.,Dumitrescu Cristian-Sorin,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=47&leg=2016&cam=1
846,,847.,Dumitrescu Florica,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=116&leg=1990&cam=2
847,,848.,Dumitrescu Florinel,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=59&leg=2012&cam=1
848,,849.,Dumitrescu Gheorghe-Viorel,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=34&leg=2004&cam=1
849,,850.,Dumitrescu Ioan,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=108&leg=1992&cam=2
850,,851.,Dumitrescu Ion,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=109&leg=1992&cam=2
851,,852.,Dumitrescu Ion Mihai ,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=35&leg=2004&cam=1
852,,853.,Dumitrescu Iulian,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=48&leg=2016&cam=1
853,,854.,Dumitrescu Liana,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=99&leg=2008&cam=2
854,,855.,Dumitrescu Marilena,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=336&leg=1996&cam=2
855,,856.,Dumitrescu Nichita,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=118&leg=1990&cam=2
856,,857.,Dumitrescu Paul Adrian,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=114&leg=1996&cam=2
857,,858.,Dumitrescu Zamfir,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=235&leg=2004&cam=2
858,,859.,Dumitricã George Ionuþ,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=100&leg=2008&cam=2
859,,860.,Dumitriu Carmen,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=98&leg=2000&cam=2
860,,861.,Dumitriu Dragoº Petre,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=69&leg=2004&cam=2
861,,862.,Dumitriu Marian,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=110&leg=1992&cam=2
862,,863.,Dumitriu Mihai,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=31&leg=2004&cam=2
863,,864.,Dumitru Constantin,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=44&leg=2008&cam=1
864,,865.,Dumitru Dan,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=161&leg=2000&cam=1
865,,866.,Dumitru Elena,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=119&leg=1990&cam=2
866,,867.,Dumitru Georgicã,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=120&leg=2012&cam=2
867,,868.,Dumitru Ioana-Jenica,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=121&leg=2012&cam=2
868,,869.,Dumitru Ion,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=102&leg=2008&cam=2
869,,870.,Dumitru Nicolae,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=120&leg=1990&cam=2
870,,871.,Dumitru Ovidiu-Ioan,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=122&leg=2012&cam=2
871,,872.,Dunava Costel Neculai,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=107&leg=2016&cam=2
872,,873.,Dunca Marius-Alexandru,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=49&leg=2016&cam=1
873,,874.,Dunca Nicolae,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=27&leg=1990&cam=1
874,,875.,Dunca Tudor Gavril,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=67&leg=1996&cam=2
875,,876.,Durac Marin,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=121&leg=1990&cam=2
876,,877.,Durbacã Eugen,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=108&leg=2016&cam=2
877,,878.,Duruº Vlad-Emanuel,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=109&leg=2016&cam=2
878,,879.,Duruþ Aurel,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=61&leg=2012&cam=1
879,,880.,Duºa Mircea,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=123&leg=2012&cam=2
880,,881.,Duþã Adrian,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=112&leg=1992&cam=2
881,,882.,Duþã Vasile,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=48&leg=2000&cam=1
882,,883.,Duþu Constantin,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=99&leg=2000&cam=2
883,,884.,Duþu Gheorghe,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=100&leg=2000&cam=2
884,,885.,Duþu Ion,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=293&leg=1996&cam=2
885,,886.,Duþu Stelian,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=127&leg=2004&cam=2
886,,887.,Eckstein Kovács Péter,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=37&leg=2004&cam=1
887,,888.,Edelhauser Viorica,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=124&leg=1990&cam=2
888,,889.,Edler András György,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=104&leg=2008&cam=2
889,,890.,Ehegartner Petru,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=62&leg=2012&cam=1
890,,891.,Ehling Elena,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=372&leg=2004&cam=2
891,,892.,Elek Matei Barna,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=286&leg=1996&cam=2
892,,893.,Emacu Gheorghe,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=124&leg=2012&cam=2
893,,894.,Enache Constantin,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=114&leg=1992&cam=2
894,,895.,Enache Dragoº,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=115&leg=1992&cam=2
895,,896.,Enache Marian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=125&leg=2012&cam=2
896,,897.,Enache Octavian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=126&leg=1990&cam=2
897,,898.,Enãchescu Mihai-Apostol,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=127&leg=1990&cam=2
898,,899.,Ene Elena,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=128&leg=1990&cam=2
899,,900.,Ene Vasile,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=116&leg=1992&cam=2
900,,901.,Enea Constantin-Cosmin,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=126&leg=2012&cam=2
901,,902.,Enescu Ion,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=44&leg=1996&cam=2
902,,903.,Enescu Nicolae,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=101&leg=2000&cam=2
903,,904.,Enescu Nicolae,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=129&leg=1990&cam=2
904,,905.,Eparu Ion,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=127&leg=2012&cam=2
905,,906.,Erdei Dolóczki István,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=110&leg=2016&cam=2
906,,907.,Eserghep Gelil,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=3&leg=2004&cam=2
907,,908.,Fabini Hermann Armeniu,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=137&leg=2000&cam=1
908,,909.,Faina Constantin,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=92&leg=2004&cam=2
909,,910.,Farago Petru,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=111&leg=2016&cam=2
910,,911.,Farcaºiu Gheorghe,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=130&leg=1990&cam=2
911,,912.,Farkas Anna-Lili,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=107&leg=2008&cam=2
912,,913.,Faur Viorel,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=28&leg=1990&cam=1
913,,914.,Fazakas Miklos,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=111&leg=1990&cam=1
914,,915.,Fazakaº Laszlo,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=104&leg=2000&cam=2
915,,916.,Fãdor Angelica,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=112&leg=2016&cam=2
916,,917.,Fãlcoi Nicu,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=50&leg=2016&cam=1
917,,918.,Fãniþã Triþã,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=62&leg=2000&cam=1
918,,919.,Fâcã Mihail,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=103&leg=2000&cam=2
919,,920.,Fârºirotu Vladimir Mircea,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=174&leg=2004&cam=2
920,,921.,Federovici Doina Elena,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=51&leg=2016&cam=1
921,,922.,Fejér László-Õdõn,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=52&leg=2016&cam=1
922,,923.,Fekete Jolt Zoltan,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=361&leg=1992&cam=2
923,,924.,Fekete Szabó Andras Levente,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=45&leg=2008&cam=1
924,,925.,Feldman Radu Alexandru,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=46&leg=2008&cam=1
925,,926.,Fenechiu Cãtãlin-Daniel,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=53&leg=2016&cam=1
926,,927.,Fenechiu Relu,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=131&leg=2012&cam=2
927,,928.,Fenoghen Sevastian,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=339&leg=1996&cam=2
928,,929.,Fercalã Mihai,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=29&leg=1990&cam=1
929,,930.,Feric Emeric,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=117&leg=1992&cam=2
930,,931.,Fieroiu Octavian,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=30&leg=1990&cam=1
931,,932.,Fifor Mihai-Viorel,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=54&leg=2016&cam=1
932,,933.,Filimon Mircea,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=131&leg=1990&cam=2
933,,934.,Filip Nicolae,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=445&leg=1990&cam=2
934,,935.,Filip Niculae,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=118&leg=1992&cam=2
935,,936.,Filip Petru,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=65&leg=2012&cam=1
936,,937.,Filipaº Avram,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=27&leg=2000&cam=1
937,,938.,Filipescu Cornel,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=33&leg=2000&cam=1
938,,939.,Filipescu Ileana,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=245&leg=1996&cam=2
939,,940.,Filipescu Rãducu-George,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=55&leg=2016&cam=1
940,,941.,Filipescu Teodor,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=39&leg=2004&cam=1
941,,942.,Finþescu Leonard,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=31&leg=1990&cam=1
942,,943.,Firczak Gheorghe,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=132&leg=2012&cam=2
943,,944.,Firczak Iulius Marian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=113&leg=2016&cam=2
944,,945.,Firea Gabriela,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=66&leg=2012&cam=1
945,,946.,Fiþion Gheorghe,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=119&leg=1992&cam=2
946,,947.,Fleacã Dãnuþ Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=399&leg=1990&cam=2
947,,948.,Fleºer Petru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=132&leg=1990&cam=2
948,,949.,Florea Ana,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=336&leg=2000&cam=2
949,,950.,Florea Damian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=114&leg=2016&cam=2
950,,951.,Florea Daniel,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=134&leg=2012&cam=2
951,,952.,Florea Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=133&leg=1990&cam=2
952,,953.,Florea Oana-Consuela,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=115&leg=2016&cam=2
953,,954.,Florescu Adrian,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=111&leg=2008&cam=2
954,,955.,Florescu Eugeniu Constantin,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=31&leg=2000&cam=1
955,,956.,Florescu Horia,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=134&leg=1990&cam=2
956,,957.,Florescu Ion,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=40&leg=2004&cam=1
957,,958.,Florescu Nicolae-Doru,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=106&leg=2000&cam=2
958,,959.,Florian Daniel Cristian,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=67&leg=2012&cam=1
959,,960.,Floroiu Ionel,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=116&leg=2016&cam=2
960,,961.,Floruþa Crãciun,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=120&leg=1992&cam=2
961,,962.,Flutur Gheorghe,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=68&leg=2012&cam=1
962,,963.,Fodor Mihai,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=378&leg=1992&cam=2
963,,964.,Fodoreanu Sorin,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=48&leg=2008&cam=1
964,,965.,Fonta Nuþu,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=135&leg=2012&cam=2
965,,966.,Fotopolos Sotiris,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=254&leg=2004&cam=2
966,,967.,Frãtean Petru Alexandru,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=69&leg=2012&cam=1
967,,968.,Frãticiu Gheorghe,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=136&leg=2012&cam=2
968,,969.,Frâncu Emilian Valentin,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=49&leg=2008&cam=1
969,,970.,Frosin Eugen,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1179&leg=1996&cam=1
970,,971.,Frunda György,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=50&leg=2008&cam=1
971,,972.,Frunzãverde Sorin,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=107&leg=2000&cam=2
972,,973.,Frunzescu Daniel Ioan,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=121&leg=1992&cam=2
